matchNum,scoreDiff,rpDiff,autoDiff,lastFive,linkPoints,endgamePoints,bluewin,eventNum
61,4.25,1.25,7.25,3.75,3.75,-4.0,0,1
62,58.75,1.5,17.75,1.25,18.75,-3.0,1,1
63,40.0,1.25,4.25,1.25,6.25,10.5,1,1
64,44.0,2.0,-1.25,2.5,16.25,8.5,1,1
65,-14.3,2.2,-1.85,5.75,-0.25,-1.6,1,1
66,15.2,0.4,4.4,-2.0,5.0,7.2,1,1
67,15.2,-0.4,10.2,-1.0,-1.0,-0.8,1,1
68,-1.0,1.6,-7.0,3.0,-3.0,3.6,1,1
69,-65.0,-3.2,-13.4,-8.0,-17.0,-0.8,0,1
70,-23.8,-1.2,-17.6,-1.0,-9.0,-1.2,0,1
71,-42.4,-2.0,-8.4,-3.0,-4.0,-12.8,0,1
72,21.8,0.6,20.2,-1.0,-4.0,-0.0,1,1
73,-3.8,-0.4,2.4,1.0,-2.0,13.2,1,1
74,49.2,0.6,17.2,-2.0,13.0,-3.6,0,1
75,-24.0,0.4,-1.8,4.0,-3.0,-2.4,1,1
76,8.0,-0.0,-10.2,-2.0,4.0,12.8,0,1
77,5.4,-0.6,2.8,-1.0,8.0,-3.2,1,1
78,-49.33,-2.83,-2.0,-3.0,-22.5,0.33,0,1
79,36.34,1.66,1.16,2.0,15.01,4.34,1,1
80,16.98,0.02,-4.16,1.0,-1.67,13.65,1,1
81,-12.67,-0.68,-5.5,0.0,-8.33,4.35,1,1
82,-1.5,0.33,-7.66,4.0,-1.68,10.01,1,1
83,-11.33,0.01,-8.17,0.0,0.01,2.33,0,1
84,-37.83,-1.34,-3.34,-4.0,-9.16,-8.32,0,1
85,-59.67,-0.17,-21.49,1.0,-16.68,-5.33,1,1
86,-27.83,-1.34,0.66,-2.0,-4.17,-3.34,0,1
87,-27.16,-1.17,-13.16,1.0,-6.67,-6.33,0,1
88,-57.67,-2.16,-9.5,-4.0,-25.01,-8.99,0,1
89,48.17,1.67,3.15,-1.0,21.66,6.34,1,1
90,-20.83,0.34,2.1,3.0,-3.57,-4.76,0,1
91,-5.14,-1.71,1.86,-8.0,0.01,-0.86,1,1
92,32.84,0.43,0.28,-1.0,7.16,12.85,0,1
93,-35.15,-1.43,-16.29,0.0,-9.27,-1.72,0,1
94,49.29,1.43,16.86,-0.0,17.86,-3.14,0,1
95,-44.28,-0.86,-10.72,-4.0,-11.41,3.44,0,1
96,26.58,1.58,11.86,-3.0,11.45,3.14,1,1
97,40.29,1.56,13.55,1.0,12.83,4.0,1,1
98,-8.72,-1.0,-6.86,-0.0,-2.15,3.42,0,1
99,-53.86,1.0,-15.57,4.0,-14.28,4.59,0,1
100,-47.28,-1.01,-11.29,1.0,-14.29,-11.16,0,1
101,48.86,3.44,4.57,5.0,12.14,12.3,1,1
102,27.86,1.72,2.3,4.0,6.43,3.71,1,1
103,61.27,3.28,14.95,3.0,21.78,-2.07,1,1
104,13.11,-1.23,13.63,-3.0,-1.24,-2.75,0,1
105,40.75,2.5,17.74,0.0,13.13,5.24,1,1
106,42.62,1.51,11.61,3.0,10.61,2.0,1,1
107,106.12,3.37,26.89,5.0,30.0,4.49,1,1
108,12.25,0.73,8.63,3.0,2.51,2.0,1,1
109,-3.0,-0.62,-3.87,-0.0,-3.75,5.5,0,1
110,-24.37,-1.13,4.48,-3.0,-6.87,-4.75,1,1
111,-61.74,-2.64,-8.24,-2.0,-21.88,-8.76,0,1
112,-30.37,-1.0,-18.5,-3.0,-3.73,1.0,0,1
113,-31.75,-1.27,-7.13,-2.0,-5.01,-10.52,0,1
114,8.01,-0.62,7.5,-1.0,2.5,4.76,0,1
115,-35.13,-2.01,-2.51,-3.0,-8.75,-7.26,0,1
116,-15.85,-1.64,-1.18,-2.0,-5.56,-9.16,1,1
117,-6.99,-0.0,-2.9,-2.0,0.56,6.44,0,1
118,-47.22,-2.78,-12.34,-6.0,-11.67,-10.66,0,1
119,19.12,0.55,-9.66,-1.0,6.66,10.89,0,1
120,32.33,0.55,6.89,5.0,13.9,-3.99,1,1
121,56.45,1.54,6.44,1.0,18.33,5.78,1,1
122,-22.43,-0.89,-2.56,0.0,-11.67,-0.44,1,1
123,33.43,1.69,14.32,0.0,7.22,8.22,1,1
124,-76.55,-2.23,-13.44,-6.0,-26.65,-0.21,0,1
125,-16.12,-0.79,-17.22,-2.0,2.8,0.65,1,1
126,49.32,1.54,22.23,3.0,15.55,-1.56,1,1
127,-19.34,-1.91,-6.88,-3.0,-8.33,-7.09,0,1
128,-9.34,-0.75,-18.57,-4.0,-3.9,-1.11,0,1
129,-39.81,-2.24,-14.38,-3.0,-8.51,-3.3,0,1
30,-72.0,-3.0,-21.0,-5.0,-25.0,1.0,0,2
